사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201805,4호선,한성대입구(삼선교),82,7,9330,1425,15968,9734,38833,26762,49141,47605,34447,33866,25970,28010,25842,27233,30267,26020,32116,28516,30303,27972,33162,27892,42003,32221,42242,39956,44169,45684,28880,41080,26273,26788,26607,24359,24983,25617,12418,17148,2001,12240,0,1237,0,0,0,0,20180603
201805,5호선,마천,2,0,6469,219,9533,2826,27691,3989,25315,9089,13134,8276,9683,7233,8380,5882,9221,6291,8311,6895,7273,7004,6790,9187,7462,12170,7457,12830,8268,17105,4481,17700,3357,10835,2708,10105,1607,10114,564,6399,86,3218,0,1,0,0,0,0,20180603
201805,4호선,성신여대입구(돈암),51,6,7168,1844,23029,8438,56881,22217,69817,59515,46880,36285,36503,32773,37316,45292,43113,35373,42568,38928,45265,43202,48587,41998,50148,47763,62627,58668,68693,78684,45999,73417,39921,47777,41778,41508,40772,42319,20577,30581,2904,8514,9,8,1,0,0,0,20180603
201805,4호선,길음,52,2,11307,2256,35730,10328,97368,18629,101716,49646,58610,40356,40144,35044,36297,34947,37962,30318,38255,36129,34692,35279,37612,36146,43565,43034,49777,54534,54015,76352,32601,73821,24547,48388,19832,44939,18870,49356,9628,33195,1396,8093,0,1,0,0,0,0,20180603
201805,4호선,미아사거리,31,2,15646,3462,41376,14273,107640,23795,117504,39126,74229,38968,52143,31261,46480,33650,47922,38227,48818,41304,46704,45527,47831,52965,54034,60088,54877,75098,55383,107467,44916,102348,45828,62967,27660,56390,21436,56473,11323,34095,1741,7878,2,2,0,0,0,0,20180603
201805,4호선,미아(서울사이버대학),42,2,12765,1977,26609,7199,62312,21196,72111,43122,44832,22591,31549,18657,29653,23090,30775,21302,29900,22390,28542,24744,28096,27373,29911,32760,34277,38665,35281,52455,23420,50095,16733,33729,14134,30228,12479,30707,4437,20421,632,5262,1,1,3,3,0,0,20180603
201805,4호선,수유(강북구청),125,12,24276,4105,55156,15150,147218,25396,160932,65433,100175,49332,71445,41262,63083,41895,67505,45057,65239,48024,59486,54145,58670,62259,61353,76027,68281,92047,80108,138515,53385,139218,40514,95111,35649,85334,28892,83964,17143,57935,2574,16617,0,0,0,0,0,0,20180603
201805,4호선,쌍문,116,4,27539,1423,62309,12227,154810,17862,168684,32480,99575,26408,68581,22803,57890,24265,55132,28891,51350,34069,44121,38091,40867,47046,43794,57259,46442,75248,44661,109042,32674,120325,23302,80803,19360,71515,14602,72908,7341,51922,1142,17620,0,0,0,0,0,0,20180603
201805,4호선,창동,2244,78,18444,3262,46257,13224,117889,25092,104271,47843,70372,41106,53490,34333,50158,33168,50831,38092,49105,44001,44952,47917,44845,54097,48370,63860,51190,74805,57037,107742,34070,107593,26670,71889,25842,63865,21411,60266,10825,44633,1658,15989,4,39,1,1,0,0,20180603
201805,4호선,노원,148,4,14017,623,30749,10746,63354,19334,71495,36007,44145,39307,35483,29034,34329,28082,36380,33244,37528,36961,35385,38462,35443,43559,40642,49001,41858,65862,44859,92094,34578,88636,35457,56029,33015,49684,34053,44962,16429,34608,2944,11784,4,786,0,0,0,0,20180603
