pos,country,area_km,area_mi,population,density_km,density_mi,date,population source
91,Papua New Guinea,462840,178704,8151300,18,47,01-Jul-16,Annual official estimate
92,Argentina,2780400,1073518,44044811,16,41,01-Jul-17,Annual official estimate
93,Saudi Arabia,2149690,830000,33905320,16,41,01-Jul-17,Annual official estimate
94,Mali,1248574,482077,18542000,15,39,01-Jul-17,UN projection
95,Chad,1284000,495755,14900000,12,31,01-Jul-17,UN projection
96,Bolivia,1098581,424164,11307314,10,26,01-Jul-18,Official projection
97,Russia[10],17125242,6612093,146877088,9,23,01-Jan-18,Official estimate
98,Kazakhstan,2724900,1052090,18232000,7,18,01-May-18,Official monthly estimate
99,Canada,9984670,3855103,37161891,4,10,12-Jul-18,Official estimate
100,Australia,7692024,2969907,24994870,3,8,12-Jul-18,Official estimate
